threshold,evaluated_count,true_danger,missed_danger,false_danger,true_safe,danger_recall,safe_recall,balanced_accuracy
0.264,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.265,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.266,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.267,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.268,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.269,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.27,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.271,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.272,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.273,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.274,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.275,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.276,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.277,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.278,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.279,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.28,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.281,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.282,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.283,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.284,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.285,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.286,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.287,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.288,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.289,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.29,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.291,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.292,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.293,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.294,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.295,311,89,25,30,167,0.780701754385965,0.847715736040609,0.814208745213287
0.296,311,89,25,30,167,0.780701754385965,0.847715736040609,0.814208745213287
0.297,311,89,25,30,167,0.780701754385965,0.847715736040609,0.814208745213287
0.298,311,89,25,30,167,0.780701754385965,0.847715736040609,0.814208745213287
0.299,311,89,25,30,167,0.780701754385965,0.847715736040609,0.814208745213287
0.3,311,89,25,30,167,0.780701754385965,0.847715736040609,0.814208745213287
0.301,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.302,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.303,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.304,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.305,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.306,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.307,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.308,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.309,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.31,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.311,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.312,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.313,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.314,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.315,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.316,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.317,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.318,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.319,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.32,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.321,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.322,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.323,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.324,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
0.325,311,82,32,27,170,0.719298245614035,0.862944162436548,0.791121204025292
