"source_file","scenario","segment","snapshot_id","begin_source_line","end_source_line","begin_frame","end_frame","threshold","roi_width","roi_height","roi_y_first","roi_y_last","row_count","expected_row_count","dark_left_count","dark_center_count","dark_right_count","d128_left_percent_exact","d128_center_percent_exact","d128_right_percent_exact","d128_left_percent_firmware","d128_center_percent_firmware","d128_right_percent_firmware","complete","status","content_sha256"
"左转极限.txt","左转极限","1","左转极限:s1:b20","501","531","900","900","128","200","24","88","111","24","24","1145","1192","1052","71.20646766169155","74.12935323383084","66.41414141414141","71","74","66","True","complete","0836BF8BBB73D9F1A24CF3650677501E401A17C36F38454D7533C2043A0C5D99"
"左转极限.txt","左转极限","1","左转极限:s1:b21","532","559","934","934","128","200","24","88","111","24","24","1019","1247","1109","63.37064676616915","77.54975124378109","70.01262626262626","63","77","70","True","complete","EA4620B6DCC1FE253839D32BFBE91B1B8C8A59200811E8E803AC15C9B2829E45"
"左转极限.txt","左转极限","1","左转极限:s1:b22","560","586","969","969","128","200","24","88","111","24","24","1042","1245","1083","64.80099502487562","77.42537313432835","68.37121212121212","64","77","68","True","complete","A00ECBC8EA9151C08DF72F99630765C2A695BF0C5D98375CA8D8B052562EF703"
"左转极限.txt","左转极限","1","左转极限:s1:b23","587","613","1003","1003","128","200","24","88","111","24","24","297","705","1167","18.470149253731343","43.843283582089555","73.67424242424242","18","43","73","True","complete","6097A9D7F2BFD990C4B264FC394D55243D2A9E3AB9EF249D8507C47A4F34D2C7"
"左转极限.txt","左转极限","1","左转极限:s1:b24","614","641","1038","1038","128","200","24","88","111","24","24","1432","534","424","89.05472636815921","33.208955223880594","26.767676767676768","89","33","26","True","complete","25B2C0A88DFA518609A63C59A40CCD449B83A272F9E0F89F45D2F15B8CF0FCAF"
"左转极限.txt","左转极限","1","左转极限:s1:b25","643","669","1073","1073","128","200","24","88","111","24","24","1231","1315","731","76.55472636815921","81.77860696517413","46.148989898989896","76","81","46","True","complete","B6C5A29C9F545834E8E0964BCA691F0334DE9ABFDF9CE4390AB994379B42E0B0"
"左转极限.txt","左转极限","1","左转极限:s1:b26","671","697","1108","1108","128","200","24","88","111","24","24","1557","1432","1392","96.82835820895522","89.05472636815921","87.87878787878788","96","89","87","True","complete","23FD1679ABBE02A19E6E937DAAB7A70870F0C1628AA4146B9FAAFA6C69449EEA"
"左转极限.txt","左转极限","1","左转极限:s1:b27","698","724","1141","1141","128","200","24","88","111","24","24","902","1482","1397","56.09452736318408","92.16417910447761","88.19444444444444","56","92","88","True","complete","60EBE83AEE22AD9F36DB58B5BCB1C9210361ADC9A30BA55E31E8A07A3F490398"
"左转极限.txt","左转极限","1","左转极限:s1:b28","725","751","1176","1176","128","200","24","88","111","24","24","1366","1496","1506","84.95024875621891","93.03482587064677","95.07575757575758","84","93","95","True","complete","1F0993D7817E8C6CA216047BD9F5149A42761D94C0BAF44AAD5A0C583B973571"
"左转极限.txt","左转极限","1","左转极限:s1:b29","752","778","1211","1211","128","200","24","88","111","24","24","1393","1489","1492","86.62935323383084","92.59950248756219","94.1919191919192","86","92","94","True","complete","7217B1B4319F85FA3106B4A1DCCC55BE895EADF9AE16E3A75A3CC13C8A90D2D3"
"左转极限.txt","左转极限","1","左转极限:s1:b30","779","805","1246","1246","128","200","24","88","111","24","24","1393","1491","1473","86.62935323383084","92.72388059701493","92.99242424242425","86","92","92","True","complete","20E484847A066D0097F1606ACB5EAF749A527A9D7E61DC4DA231357F36347BF2"
"左转极限.txt","左转极限","1","左转极限:s1:b31","807","833","1281","1281","128","200","24","88","111","24","24","1393","1493","1471","86.62935323383084","92.84825870646766","92.86616161616162","86","92","92","True","complete","4E4921FBEE0C28933EABC72330A84588457ED34AA1947FDA5D4961EA00FBC87B"
